instance,scenario,progress,scenario_seed,method,algorithm_seed_count,algorithm_seed_min,algorithm_seed_max,greedy_baseline_cost,route_cost_mean,route_cost_sample_sd,route_cost_median,route_cost_min,route_cost_max,route_cost_cv,online_time_ms_mean,online_time_ms_sample_sd,online_time_ms_median,online_time_ms_min,online_time_ms_max,online_time_ms_cv,paired_relative_reduction_percent
L-C,new_task_arrival,0.5,0,dynamic_ails,10,1000,1009,92.5839874025179,89.38692398231748,2.140444006469439,89.26043489648166,86.1442061947869,91.8413605578179,0.02394582911134588,1373.10941,343.27715601362587,1188.40535,1056.8986,1850.1374,0.24999985690406554,3.4531494158929203
L-C,new_task_arrival,0.5,0,global_replan,10,1000,1009,92.5839874025179,104.8697642116955,1.2169383937524156,104.855347920443,102.94886659948,106.930667396505,0.011604282730109331,1994.72915,305.4250165541426,2004.3453,1599.3969,2508.048,0.15311603410124258,-13.269872203455636
L-C,new_task_arrival,0.5,1,dynamic_ails,10,1000,1009,87.22911470321,86.92837305734774,0.40034510227791387,87.1221622994777,86.047838912756,87.22911470321,0.004605459508759024,1397.8147800000002,348.83809482357856,1284.7491,1073.9135,1962.5098,0.24955959817764878,0.344772094598815
L-C,new_task_arrival,0.5,1,global_replan,10,1000,1009,87.22911470321,94.55305103118835,0.8508043604373261,94.9088013236245,92.3198063082344,94.9740177416991,0.008998169293941536,1723.72503,129.2789001859421,1655.9135999999999,1619.0381,1966.6566,0.07499972323656638,-8.396206189753782
L-C,new_task_arrival,0.5,2,dynamic_ails,10,1000,1009,92.1319291801458,90.37241026580769,1.653719055089941,90.56581349521909,86.7704137395367,92.1319291801458,0.0182989371449311,1447.73329,361.9008718690135,1271.0315500000002,1081.9779,1921.697,0.24997758521461746,1.9097819073100317
L-C,new_task_arrival,0.5,2,global_replan,10,1000,1009,92.1319291801458,99.00383231527299,0.8566064626469149,99.04657840713335,97.4649835755032,100.201669520936,0.008652255600763941,2036.85858,405.4965657453417,2040.0976,1582.6368,2625.1711,0.199079391042132,-7.458763966279848
L-C,robot_failure,0.5,0,dynamic_ails,10,1000,1009,121.027812860526,117.65975477484389,0.13206096095503952,117.628112692843,117.60206543621,118.034077830963,0.0011223970439829156,1219.99033,112.71952148258231,1208.7565,1054.5836,1412.5571,0.09239378272988631,2.7828794110024124
L-C,robot_failure,0.5,0,global_replan,10,1000,1009,121.027812860526,132.5316971917319,3.1546881426350346,133.783124070515,126.492466460238,137.683704723019,0.023803272797987246,1544.5839,138.48241733693928,1520.72465,1380.2453,1786.5976,0.08965677897907603,-9.505157582631952
L-C,robot_failure,0.5,1,dynamic_ails,10,1000,1009,109.198839579633,108.85084633501882,0.3976773936921546,109.03278808019701,108.277455580363,109.198839579633,0.003653415725112431,1178.0707,122.53621705736182,1136.2456499999998,1040.2171,1433.3393,0.10401431514879525,0.3186785188870199
L-C,robot_failure,0.5,1,global_replan,10,1000,1009,109.198839579633,110.5592613561917,1.5188295737365243,110.7481384143945,107.797996831208,112.123053546228,0.013737696463467414,1639.42235,179.73614858722,1600.47975,1442.3646,1907.2497,0.10963382839523933,-1.2458207264799832
L-C,robot_failure,0.5,2,dynamic_ails,10,1000,1009,112.567980962845,110.99456831191769,1.2917693231410414,110.65400492088699,109.67540589708,112.567980962845,0.011638130971516574,1209.31705,193.2074954850312,1112.4639,1045.889,1528.3827,0.15976579134895283,1.3977444007338478
L-C,robot_failure,0.5,2,global_replan,10,1000,1009,112.567980962845,124.5454691350689,3.517705483301977,126.35522842914449,115.933924862961,126.715032870798,0.02824434728723085,1544.96039,89.37112144985899,1543.65265,1406.1082,1697.0492,0.057846869103135384,-10.640226527805696
L-C,service_location_invalidation,0.5,0,dynamic_ails,10,1000,1009,75.5496700698671,75.53323029420667,0.05198713530912683,75.5496700698671,75.3852723132629,75.5496700698671,0.0006882683966597705,1205.81612,116.36100173028382,1223.9137,1038.4261,1392.5392,0.09649978947891642,0.021760221646536595
L-C,service_location_invalidation,0.5,0,global_replan,10,1000,1009,75.5496700698671,90.26373399656852,3.1869981106581755,90.07017865471039,86.298915994348,96.2538528334461,0.03530762543879841,1535.49611,138.58983115209227,1495.0564,1372.8879,1739.9626,0.090257363890093,-19.476013479733382
