scale,scenario,algorithm,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max
L,new_task_arrival,dynamic_ails,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,111.67722488806375,21.84021474788153,87.3832692300126,139.632744183281,0.17490286192847262,0.10297997812065272,0.0419568742216267,0.282530792746869,1582.3772666666666,260.9872691686602,1205.088,1875.8475,0.3333333333333333,0.5163977794943223,0.0,1.0,2.0,1.0954451150103321,1.0,4.0,0.0,0.0,0.0,0.0,32.666666666666664,4.320493798938574,26.0,38.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0327955589886444,0.0,3.0,0.16666666666666666,0.408248290463863,0.0,1.0,1.0,0.6324555320336759,0.0,2.0
L,new_task_arrival,global_replan,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,124.62684969974987,28.557808592483624,98.1446308369572,166.939098538681,0.30879868369805,0.1695602967042923,0.113776011358656,0.592597186983576,1914.7911333333334,173.13748230209046,1605.6379,2099.8798,7.166666666666667,3.7103458958251676,2.0,12.0,26.166666666666668,4.119061381755153,21.0,32.0,0.0,0.0,0.0,0.0,92.33333333333333,7.633260552782583,80.0,100.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.752772652709081,1.0,3.0,0.5,0.5477225575051661,0.0,1.0,1.0,0.6324555320336759,0.0,2.0
L,new_task_arrival,greedy,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,112.8302345301426,21.703154609895943,87.9708306899506,139.632744183281,0.1867513884597949,0.09400791948468543,0.0729706377740953,0.288700752293745,18.23245,0.877138449162958,17.3374,19.3952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.666666666666668,1.632993161855452,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,new_task_arrival,greedy_ls,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,112.68357260791934,21.832168554681267,87.9708306899506,139.632744183281,0.18490815235009753,0.09324478803087799,0.0729706377740953,0.288700752293745,42.90005,4.586108813689444,37.2556,50.9339,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.666666666666668,2.3380903889000244,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,robot_failure,dynamic_ails,6,6,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,123.27958938462491,22.685491782242032,84.3905877994895,147.782034833219,0.30010418893465246,0.15292693514145847,0.0774862293423596,0.504168449026415,1190.4657166666666,131.5046793674874,1041.895,1343.4384,9.666666666666666,3.8815804341359033,4.0,16.0,8.166666666666666,2.3166067138525404,6.0,12.0,0.0,0.0,0.0,0.0,37.666666666666664,8.981462390204985,28.0,54.0,0.0,0.0,0.0,0.0,2.0,1.0954451150103321,1.0,4.0,0.3333333333333333,0.816496580927726,0.0,2.0,1.3333333333333333,0.816496580927726,0.0,2.0
L,robot_failure,global_replan,6,6,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,127.99669568955802,26.220475621766205,84.4305221554692,153.200431754623,0.3440394607394403,0.14639930130061754,0.0779961051444816,0.48522506866242,1582.5422333333333,59.04041747893271,1517.8402,1652.9958,14.5,11.291589790636214,4.0,36.0,25.333333333333332,4.844240566555986,18.0,30.0,0.0,0.0,0.0,0.0,86.66666666666667,5.887840577551898,80.0,94.0,0.0,0.0,0.0,0.0,3.0,1.4142135623730951,1.0,5.0,0.5,0.8366600265340756,0.0,2.0,2.3333333333333335,1.0327955589886444,1.0,4.0
L,robot_failure,greedy,6,6,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,125.94400181689919,21.550271179623984,90.1843966801581,148.26292798728,0.32947209861561083,0.13686952700770064,0.151460702647304,0.533372820621646,13.166666666666666,4.202397387999696,6.5932,18.2187,8.666666666666666,3.3862466931200785,3.0,13.0,6.5,2.4289915602982237,3.0,10.0,0.0,0.0,0.0,0.0,20.333333333333332,6.860515043833566,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,robot_failure,greedy_ls,6,6,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,125.02729426117476,21.738159909869076,88.4385503636126,147.782034833219,0.3197442983422705,0.1428417994835707,0.129170001590744,0.52640108556528,30.27333333333333,4.517633618020241,25.096,37.8013,8.666666666666666,3.3862466931200785,3.0,13.0,7.5,2.4289915602982237,4.0,11.0,0.0,0.0,0.0,0.0,22.666666666666668,7.118052168020874,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,service_location_invalidation,dynamic_ails,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,93.88845531763195,14.702467978042266,77.4470426431965,108.10406751996,-0.009996026161981952,0.020330636765753193,-0.0460378376773105,0.0156028327626529,1247.0984666666666,144.88577190913767,1074.3101,1474.1579,1.0,0.8944271909999159,0.0,2.0,2.3333333333333335,1.0327955589886444,1.0,4.0,1.0,0.0,1.0,1.0,27.0,5.761944116355173,16.0,32.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.983192080250175,1.0,3.0,0.16666666666666666,0.408248290463863,0.0,1.0,1.6666666666666667,0.816496580927726,1.0,3.0
L,service_location_invalidation,global_replan,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,107.32709439949603,20.69841744030634,81.9290580410619,140.208479756476,0.13207452975029524,0.12902626827455885,-2.80774845085473e-05,0.337587374114563,1598.7011333333332,88.28663275440212,1441.5755,1706.7536,5.833333333333333,3.3115957885386114,2.0,10.0,23.666666666666668,3.8297084310253524,20.0,30.0,1.0,0.0,1.0,1.0,84.33333333333333,8.71014733897577,72.0,96.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.816496580927726,1.0,3.0,0.5,0.8366600265340756,0.0,2.0,1.8333333333333333,0.983192080250175,1.0,3.0
