instance,scale,distribution,scenario,algorithm,objective_mode,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max,paired_dynamic_ails_minus_greedy_mean,paired_dynamic_ails_minus_greedy_ls_mean,paired_dynamic_ails_minus_global_replan_mean
L-C,L,clustered,new_task_arrival,dynamic_ails,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,88.77014191256568,1.660496838760841,87.22911470321,90.5286717653659,0.16458332056386568,0.03623479280110639,0.124374558611346,0.194707771700724,1342.8948,369.8022809883276,1107.6307,1769.1396,0.3333333333333333,0.5773502691896258,0.0,1.0,3.6666666666666665,2.081665999466133,2.0,6.0,0.0,0.0,0.0,0.0,42.666666666666664,15.534906930308058,30.0,60.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.3333333333333333,0.5773502691896258,0.0,1.0,1.0,1.0,0.0,2.0,-1.8782018493922361,-1.630659567825565,-9.055398583700068
L-C,L,clustered,new_task_arrival,global_replan,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,97.82554049626573,3.6778990294957286,94.9740177416991,101.9768393905,0.283599749637042,0.06482042508117349,0.224205583665512,0.352742203632772,1623.6459666666667,151.2371821599878,1507.1043,1794.5499,4.0,1.0,3.0,5.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,91.33333333333333,4.163331998932265,88.0,96.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,1.0,2.0,,,
L-C,L,clustered,new_task_arrival,greedy,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,90.6483437619579,2.9697533022530855,87.22911470321,92.5839874025179,0.18946158887498465,0.056700352991271435,0.124374558611346,0.228144232440867,17.46473333333333,0.4373741685711824,17.108,17.9527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.333333333333332,3.0550504633038935,22.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
L-C,L,clustered,new_task_arrival,greedy_ls,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,90.40080148039124,2.7506008962552317,87.22911470321,92.1319291801458,0.18617789334705667,0.05353701455290558,0.124374558611346,0.218293145857083,42.23929999999999,1.2222364051197299,41.1106,43.5374,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.666666666666668,2.309401076758503,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
L-C,L,clustered,robot_failure,dynamic_ails,minimum_makespan,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,113.12501845307168,4.610952674125127,109.198839579633,118.202545905444,0.48441967605149766,0.08041831832838943,0.407562113532517,0.567979291953136,1121.713,60.546192840425554,1073.2308,1189.5769,11.666666666666666,1.5275252316519468,10.0,13.0,9.333333333333334,1.1547005383792515,8.0,10.0,0.0,0.0,0.0,0.0,40.0,12.165525060596439,26.0,48.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.3333333333333333,0.5773502691896258,0.0,1.0,1.3333333333333333,0.5773502691896257,1.0,2.0,-1.1398593479296675,-1.0341760414236678,-11.91547261749634
L-C,L,clustered,robot_failure,global_replan,minimum_makespan,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,125.04049107056801,13.42162590583663,110.860170508712,137.546269832194,0.6419378377900367,0.19953592741630014,0.428976502941912,0.824577475300765,1470.7018666666665,69.70425890391016,1390.5272,1516.9293,16.666666666666668,4.041451884327381,13.0,21.0,24.333333333333332,3.7859388972001824,20.0,27.0,0.0,0.0,0.0,0.0,84.66666666666667,3.055050463303893,82.0,88.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.5773502691896257,2.0,3.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.5773502691896257,2.0,3.0,,,
L-C,L,clustered,robot_failure,greedy,minimum_makespan,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,114.26487780100133,6.094320830045692,109.198839579633,121.027812860526,0.4995266206267417,0.0996839018184134,0.407562113532517,0.605456996395741,16.4118,1.2931607363355886,15.0946,17.6795,11.666666666666666,1.5275252316519468,10.0,13.0,8.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,26.0,2.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
L-C,L,clustered,robot_failure,greedy_ls,minimum_makespan,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,114.15919449449534,5.918620214798649,109.198839579633,120.710762941008,0.49812471143064735,0.09745389692627227,0.407562113532517,0.601251268807458,34.8058,2.389722839577846,33.3503,37.5638,11.666666666666666,1.5275252316519468,10.0,13.0,9.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,28.0,3.4641016151377544,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
L-C,L,clustered,service_location_invalidation,dynamic_ails,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,76.2309072198128,1.180904147166815,75.3852723132629,77.5801213529253,-0.00020856921383923368,0.0003612524752642506,-0.000625707641517701,0.0,1268.057,191.64752600221587,1119.8567,1484.4817,0.0,0.0,0.0,0.0,1.3333333333333333,1.1547005383792515,0.0,2.0,1.0,0.0,1.0,1.0,24.666666666666668,15.01110699893027,10.0,40.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.3333333333333333,0.5773502691896258,0.0,1.0,1.3333333333333333,0.5773502691896257,1.0,2.0,-0.07060353032470346,-0.07060353032470346,-9.0477502783273
L-C,L,clustered,service_location_invalidation,global_replan,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,85.2786574981401,1.7716632862331656,83.232919168768,86.3041373313043,0.1185496361778305,0.023767089092063532,0.0984256529245615,0.144771562749467,1471.6376666666665,80.6560783666881,1400.975,1559.5094,2.3333333333333335,1.1547005383792515,1.0,3.0,17.0,8.54400374531753,8.0,25.0,1.0,0.0,1.0,1.0,82.0,7.211102550927978,76.0,90.0,0.0,0.0,0.0,0.0,3.3333333333333335,1.5275252316519468,2.0,5.0,1.0,1.7320508075688772,0.0,3.0,2.3333333333333335,0.5773502691896257,2.0,3.0,,,
