scenario_id,instance,scenario,progress,seed,static_plan_changed,arrival_membership_changed,old_released_group_ids,new_released_group_ids,invalidated_group_changed,old_invalidated_group_id,new_invalidated_group_id,invalidated_node_changed,old_invalidated_node_id,new_invalidated_node_id,failed_robot_changed,old_failed_robot_id,new_failed_robot_id
L_C__new_task_arrival__p050__seed0,L-C,new_task_arrival,0.5,0,True,False,100;101;102;103;104;105;106;107;108;109,100;101;102;103;104;105;106;107;108;109,False,-1,-1,False,-1,-1,False,-1,-1
L_C__new_task_arrival__p050__seed1,L-C,new_task_arrival,0.5,1,True,False,100;101;102;103;104;105;106;107;108;109,100;101;102;103;104;105;106;107;108;109,False,-1,-1,False,-1,-1,False,-1,-1
L_C__new_task_arrival__p050__seed2,L-C,new_task_arrival,0.5,2,True,False,100;101;102;103;104;105;106;107;108;109,100;101;102;103;104;105;106;107;108;109,False,-1,-1,False,-1,-1,False,-1,-1
L_C__robot_failure__p050__seed0,L-C,robot_failure,0.5,0,True,False,,,False,-1,-1,False,-1,-1,True,1,5
L_C__robot_failure__p050__seed1,L-C,robot_failure,0.5,1,True,False,,,False,-1,-1,False,-1,-1,True,0,2
L_C__robot_failure__p050__seed2,L-C,robot_failure,0.5,2,True,False,,,False,-1,-1,False,-1,-1,True,4,1
L_C__service_location_invalidation__p050__seed0,L-C,service_location_invalidation,0.5,0,True,False,,,False,96,96,False,384,384,False,-1,-1
L_C__service_location_invalidation__p050__seed1,L-C,service_location_invalidation,0.5,1,True,False,,,False,1,1,False,4,4,False,-1,-1
L_C__service_location_invalidation__p050__seed2,L-C,service_location_invalidation,0.5,2,True,False,,,True,34,96,True,139,384,False,-1,-1
L_U__new_task_arrival__p050__seed0,L-U,new_task_arrival,0.5,0,True,False,100;101;102;103;104;105;106;107;108;109,100;101;102;103;104;105;106;107;108;109,False,-1,-1,False,-1,-1,False,-1,-1
L_U__new_task_arrival__p050__seed1,L-U,new_task_arrival,0.5,1,True,False,100;101;102;103;104;105;106;107;108;109,100;101;102;103;104;105;106;107;108;109,False,-1,-1,False,-1,-1,False,-1,-1
L_U__new_task_arrival__p050__seed2,L-U,new_task_arrival,0.5,2,True,False,100;101;102;103;104;105;106;107;108;109,100;101;102;103;104;105;106;107;108;109,False,-1,-1,False,-1,-1,False,-1,-1
L_U__robot_failure__p050__seed0,L-U,robot_failure,0.5,0,True,False,,,False,-1,-1,False,-1,-1,True,0,4
L_U__robot_failure__p050__seed1,L-U,robot_failure,0.5,1,True,False,,,False,-1,-1,False,-1,-1,False,1,1
L_U__robot_failure__p050__seed2,L-U,robot_failure,0.5,2,True,False,,,False,-1,-1,False,-1,-1,True,0,5
L_U__service_location_invalidation__p050__seed0,L-U,service_location_invalidation,0.5,0,True,False,,,False,22,22,True,91,89,False,-1,-1
L_U__service_location_invalidation__p050__seed1,L-U,service_location_invalidation,0.5,1,True,False,,,True,41,20,True,165,82,False,-1,-1
L_U__service_location_invalidation__p050__seed2,L-U,service_location_invalidation,0.5,2,True,False,,,True,90,83,True,360,335,False,-1,-1
M_C__new_task_arrival__p025__seed0,M-C,new_task_arrival,0.25,0,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p025__seed1,M-C,new_task_arrival,0.25,1,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p025__seed2,M-C,new_task_arrival,0.25,2,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p050__seed0,M-C,new_task_arrival,0.5,0,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p050__seed1,M-C,new_task_arrival,0.5,1,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p050__seed2,M-C,new_task_arrival,0.5,2,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p075__seed0,M-C,new_task_arrival,0.75,0,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p075__seed1,M-C,new_task_arrival,0.75,1,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__new_task_arrival__p075__seed2,M-C,new_task_arrival,0.75,2,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_C__robot_failure__p025__seed0,M-C,robot_failure,0.25,0,True,False,,,False,-1,-1,False,-1,-1,True,3,1
M_C__robot_failure__p025__seed1,M-C,robot_failure,0.25,1,True,False,,,False,-1,-1,False,-1,-1,True,2,1
M_C__robot_failure__p025__seed2,M-C,robot_failure,0.25,2,True,False,,,False,-1,-1,False,-1,-1,False,1,1
M_C__robot_failure__p050__seed0,M-C,robot_failure,0.5,0,True,False,,,False,-1,-1,False,-1,-1,True,3,1
M_C__robot_failure__p050__seed1,M-C,robot_failure,0.5,1,True,False,,,False,-1,-1,False,-1,-1,True,2,1
M_C__robot_failure__p050__seed2,M-C,robot_failure,0.5,2,True,False,,,False,-1,-1,False,-1,-1,False,1,1
M_C__robot_failure__p075__seed0,M-C,robot_failure,0.75,0,True,False,,,False,-1,-1,False,-1,-1,True,3,1
M_C__robot_failure__p075__seed1,M-C,robot_failure,0.75,1,True,False,,,False,-1,-1,False,-1,-1,True,2,1
M_C__robot_failure__p075__seed2,M-C,robot_failure,0.75,2,True,False,,,False,-1,-1,False,-1,-1,False,1,1
M_C__service_location_invalidation__p025__seed0,M-C,service_location_invalidation,0.25,0,True,False,,,True,48,19,True,194,78,False,-1,-1
M_C__service_location_invalidation__p025__seed1,M-C,service_location_invalidation,0.25,1,True,False,,,True,48,36,True,194,144,False,-1,-1
M_C__service_location_invalidation__p025__seed2,M-C,service_location_invalidation,0.25,2,True,False,,,False,36,36,True,145,144,False,-1,-1
M_C__service_location_invalidation__p050__seed0,M-C,service_location_invalidation,0.5,0,True,False,,,True,48,19,True,194,78,False,-1,-1
M_C__service_location_invalidation__p050__seed1,M-C,service_location_invalidation,0.5,1,True,False,,,True,48,36,True,194,144,False,-1,-1
M_C__service_location_invalidation__p050__seed2,M-C,service_location_invalidation,0.5,2,True,False,,,True,4,36,True,17,144,False,-1,-1
M_C__service_location_invalidation__p075__seed0,M-C,service_location_invalidation,0.75,0,True,False,,,True,48,19,True,194,78,False,-1,-1
M_C__service_location_invalidation__p075__seed1,M-C,service_location_invalidation,0.75,1,True,False,,,True,48,12,True,194,50,False,-1,-1
M_C__service_location_invalidation__p075__seed2,M-C,service_location_invalidation,0.75,2,True,False,,,True,33,21,True,135,85,False,-1,-1
M_U__new_task_arrival__p050__seed0,M-U,new_task_arrival,0.5,0,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_U__new_task_arrival__p050__seed1,M-U,new_task_arrival,0.5,1,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_U__new_task_arrival__p050__seed2,M-U,new_task_arrival,0.5,2,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_U__robot_failure__p050__seed0,M-U,robot_failure,0.5,0,True,False,,,False,-1,-1,False,-1,-1,True,3,2
M_U__robot_failure__p050__seed1,M-U,robot_failure,0.5,1,True,False,,,False,-1,-1,False,-1,-1,True,3,2
